"Source:","http://www.lib.berkeley.edu/MRC/EnvidesignVid.html"
"Environmental Design"
"Accessibility.","An overview of how to produce a barrier-free building design which provides access to disabled individuals. Contains a tour of a typical building from the perspective a wheelchair user, details about ramps, an explanation of common myths about accessible design and information on the Americans With Disabilities Act. 1992. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3735"">Video/C 3735Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Accent on Architecture, 1955.","Segments showing the buildings which received the 1995 gold medal (Cesar Pelli) and 25-year (Ford Foundation) awards presented by the American Institute ofArchitects. Each segment is accompanied by the comments of the architect, designer, or owners. 31 min. .","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4088"">Video/C 4088Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Affordable Family Housing: A Bay Area Tour","Showcases seven Bay Area affordable housing developments, featuring contemporary, suburban, and multi-family affordable housing. San Francisco, CA : Non-Profit Housing Association of Northern California, 1997. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1300"">Video/C MM1300Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Affordable Housing: Restoring The Dream: An Introduction To Cost Savings Inland Development.","Illustrates how zoning processes and ordinances can be used to reduce land costs and lower housing costs. 1989. 16 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2622"">Video/C 2622Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"After September 11th: Reimagining Manhattan's Downtown","Architects talk about how they felt after the attack on September 11th, 2001, present their ideas of what to build on the site, and explain how they would build a memorial to the victims. Dist.: Ѭ href=""http://www.michaelblackwoodproductions.com/"">Michael Blackwood ProductionsЖ. 2002. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9636"">Video/C 9636Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"An Age Of Reason: An Age Of Passion.","Covers the move from the rococo period to neoclassicism and romanticism. Relates stylistic changes to the French Revolution and the Napoleonic wars. Covers the work of David, Gericault, Turner, Delacroix, and Goya. Part of the Art of the Western world series. c1989. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1680"">Video/C 1680Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Air, Light, and Utopia","Examines the Modern Movement in architecture, from its emergence after World War I until World War II. Combines interviews with leading architects, historians, and conservationists with location footage from all over Europe. The first half explores the movement's origins and ideology, spotlighting the Bauhaus in Germany, Le Corbusier in France, the Functionalists in Holland, and the Constructivists in Russia. The second half traces the movement's growth and spread, emphasizing the influence of the social climate and political environment of the interwar years upon building design. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1994. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7212"">Video/C 7212Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Amazing: The Rebuilding of the MacArthur Maze","Documents the rebuilding of a key connector in MacArthur Maze Freeway near the San Francisco-Oakland Bay Bridge from the perspectives of all the main players. Includes a wide variety of news and archival footage of the entire 26-day process beginning with the fire that melted and collapsed the structure and an animated depiction of the gasoline tanker truck which overturned and created the fireball. Producer, director, David L. Brown ; editors, David L. Brown, Steven Baigel. 2007. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X753"">DVD X753Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"America Betrayed","America's infrastructure was once our proudest achievement. Now its a most dangerous embarrassment. Bridges, dams, levees and highways are crumbling, toppling, being washed away, and putting us all at risk. Features interviews with journalists, noted scientists, whistleblowers who risked their lives to speak out, and politicians from both sides. Exposes the rampant collusion, corruption and cronyism within the government agencies whose very purpose is to protect us. Directed and produced by Leslie Cardé. 2008. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5694"">DVD X5694Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"America By Design.","Contents: 1. The House -- 2. The Workplace -- 3. The Street -- 4. Public Places and Monuments -- 5. The Shape of the Land. Kaleidoscopic tour of America's built environment, from the earliest settlements to the latest manifestations of megalopolis.1984. 60 min. each.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8933"">DVD 8933Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1039"">Video/C 1039Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"America's Fantastic Architecture","Looks at some of the more unusual places which Americans have designed as habitations, and the kinds of people who design them and live in them: a 3 million dollar concrete tent, an underwater house in San Francisco Bay, houses that resemble giant mushrooms, space ships or Noah's ark. From the freakish and outlandish to the truly innovative, here are the weird and wonderful creations of America's most unorthodox architects. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1990. 44 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8093"">Video/C 8093Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"The American House: A Guide to Architectural Styles.","Teaches viewers how to identify the most common styles of American houses, emphasizing the richness of architectural variety in residential design. Contents: Tudor -- Neo-Classic (Greek revival) -- Queen Anne -- Bungalow (Craftsman) -- Ranch/Split level -- Prairie School (Frank Lloyd Wright) -- Colonial Revival (Dutch, Spanish, New England, Georgian) -- Neo-Eclectic Contemporary (Internatinal School, Post modern). With 19-page guide. c1992.23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6128"">Video/C 6128Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
