"Source:","http://www.lib.berkeley.edu/MRC/imagesafam.html"
"The Movies, Race, and Ethnicity"
"Bert Williams Films","Contents: Introduction (2 min.) -- A Natural born gambler(1916, si. with English intertitles, 18 min.) -- Fish (si.,1916, 9min.) -- Nobody (audio recording, 1906, 3 min.) Egbert Austin""Bert"" Williams was one of the preeminent entertainers of theVaudeville era and one of the most popular comedians for allaudiences of his time. A key figure in the development ofAfrican-American entertainment, he was by far the best-sellingblack recording artist before 1920. He became the first blackAmerican to take a lead role on the Broadway stage, and did much topush back racial barriers during his career. â€¢149; Ѭhref=""http://www.imdb.com/title/tt0139488/"">Credits and otherinformation from the Internet Movie DatabaseЖâ€¢149; Ѭhref=""http://www.imdb.com/title/tt0279085/"">Credits and otherinformation from the Internet Movie DatabaseЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5041"">DVD X5041Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"Watermelon Eating Contest (Edison, 1903)","","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3552"">DVD 3552Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"What Happened in the Tunnel (1903)","
        Directed by Edwin S. Porter. ""Scene, interior of railroadcoach. Pretty young lady and negress maid occupy seat. Youngman in rear seat tries to attract young lady's attention. Shedrops her handkerchief. Young man picks it up and hands it toher, and then begins to make love to her. As the train enters atunnel he is last seen trying to put his arms around her. Uponemerging he is hugging and kissing the colored maid, the younglady having changed seats with her while in the tunnel, much tothe young man's disgust."" [AFI Catalog] 
        
          
        
      â€¢149; Ѭhref=""http://us.imdb.com/title/tt0232932/"">Credits andother information from the Internet Movie DatabaseЖ
            
              Reviews and articles:
              â€¢149;Courtney, Susan. Hollywood fantasiesof miscegenation : spectacular narratives of genderand race, 1903-1967 Princeton, N.J. : PrincetonUniversity Press, 2005. (Main StackPN1995.9.M57.C38 2005; Moffitt PN1995.9.M57.C382005)
              â€¢149;Gaines, Jane. Fire and desire :mixed-race movies in the silent era Chicago :University of Chicago Press, 2001. (Main StackPN1995.9.N4.G35 2001; PFA PN1995.9.N4.G352001)
              â€¢149;Stewart, Jacqueline Najuma. Migratingto the movies : cinema and Black urbanmodernity. Berkeley : University of CaliforniaPress, c2005. (MAIN: PN1995.9.N4 S74 2005; MOFF:PN1995.9.N4 S74 2005; PFA : PN1995.9.N4 S742005)
              â€¢149;Williams, Linda. ""Of Kisses andEllipses: The Long Adolescence of American Movies.""Critical Inquiry, volume 32 (2006), pages288?340 Ѭhref=""http://www.journals.uchicago.edu/CI/journal/issues/v32n2/320207/320207.web.pdf"">Full-textof this article / review is available: UC usersonlyЖ
            
          Reviews and articles:â€¢149;Courtney, Susan. Hollywood fantasiesof miscegenation : spectacular narratives of genderand race, 1903-1967 Princeton, N.J. : PrincetonUniversity Press, 2005. (Main StackPN1995.9.M57.C38 2005; Moffitt PN1995.9.M57.C382005)â€¢149;Gaines, Jane. Fire and desire :mixed-race movies in the silent era Chicago :University of Chicago Press, 2001. (Main StackPN1995.9.N4.G35 2001; PFA PN1995.9.N4.G352001)â€¢149;Stewart, Jacqueline Najuma. Migratingto the movies : cinema and Black urbanmodernity. Berkeley : University of CaliforniaPress, c2005. (MAIN: PN1995.9.N4 S74 2005; MOFF:PN1995.9.N4 S74 2005; PFA : PN1995.9.N4 S742005)â€¢149;Williams, Linda. ""Of Kisses andEllipses: The Long Adolescence of American Movies.""Critical Inquiry, volume 32 (2006), pages288?340 Ѭhref=""http://www.journals.uchicago.edu/CI/journal/issues/v32n2/320207/320207.web.pdf"">Full-textof this article / review is available: UC usersonlyЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3552"">DVD 3552Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"Birth of a Nation (1915)","Directed by D.W. Griffith. Cast: Lillian Gish, Mae Marsh, HenryWalthall, Miriam Cooper, Mary Alden, Ralph Lewis, George Seigmann,Walter Long. Adapted from Thomas Dixon's novel, TheClansman. A Civil War spectacular, Portraying ""life in theSouth"" during and after the Civil War as revealed in a storydepicting the war itself, the conflict between the defeatedSoutherners and emancipated renegade Negroes, the despoiling of theSouth during the carpetbagger period, and the revival of theSouthern white man's honor through the efforts of the Ku Klux Klan.124 min. ; 
        Ѭ href=""http://us.imdb.com/title/tt0004972/"">â€¢149; Creditsand other information from the Internet Movie DatabaseЖ
        â€¢149;Ѭhref=""http://sunsite.berkeley.edu/videodir/asx/d1541.asx"">Viewthis video onlineЖ
        UC Berkeley users only - Requires Ѭhref=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">WindowsMedia PlayerЖ or Ѭhref=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
        Ѭhref=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">©noticeЖ
        
          â€¢149;Awards & Honors
          â€¢149;Ѭ href=""http://www.loc.gov/film/"">NationalFilm Registry SelectionЖ
        
      ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3012"">DVD 3012Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+29"">DVD 29Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"Birth of a Race (Excerpt) (1915)","
        Directed by John W. Noble. Cast: Louis Dean, Harry Dumont,Carter B. Harkness, Doris Doscher, Charles Graham, BenHendricks, Alice Gale, John Reinhardt, Gertrude Braun. After abiblical and historical prologue detailing the evolution of theidea of democracy through the creation, flood, the crucifixionof Christ, the discovery of America, the signing of theDeclaration of Independenc and the Civil War, the present-daythreat to this idea by autocratic powers is dramatized. 10 min.; 
        
          
          
          
        
      Reviews and articles:â€¢149;Cripps, Thomas. ""The Making of Birth of a Race:The Emerging Politics of Identity in Silent Film."" In:The birth of whiteness : race and the emergence of U.S.cinema / edited by Daniel Bernardi. New Brunswick, N.J.: Rutgers University Press, c1996. ( Main (Gardner) Stacks;PFA PN1995.9.M56 B57 1996)â€¢149;Miller, James A. ""The Case of Early BlackCinema."" Critical Studies in Mass Communication;Jun93, Vol. 10 Issue 2, p181, 4p","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3012"">DVD 3012Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2912"">DVD 2912Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"A Natural Born Gambler (1916)","Director: Bert Williams. ""Our story centers upon the activitiesof a Negro fraternal organization, the Independent Order ofCalcimine Artists of America. [Inside joke: ""calcimine"" iswhitewash, and yet most of these black actors appear to havedarkened their complexions with blackface makeup.] The group meetsin the back of a saloon. Their leader, Brother Scott, is a lawyerwho disapproves of gambling-- although, after breaking up a pokergame, he doesn't object to appropriating others' winnings. Ourprotagonist is lodge member Bert Williams, described as a ""walkingdelegate,"" who is clearly in arrears with both the saloon'sbarkeep, Hostetter Johnson, and with the lodge itself. Early on, heis compelled to remit the dues he owes (three dollars), which hedoes reluctantly. [Some prints of the film omit the next sequence:After leaving a meeting with his friend Limpy Jones, who ishandicapped with gout and must ride on Bert's shoulders..."" [Ѭhref=""http://www.imdb.com/title/tt0139488/"">IMDBЖ] 22 min ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD1312"">DVD1312Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"Uncle Tom's CabinЖ","
        Two silent versions: Uncle Tom's Cabin, or Slavery Days,directed by Edwin S. Porter (1903, 17 min.); and Uncle Tom'sCabin, Minot Films Release, Inc., directed by IrwingCummings (1914; 42 min.).        See also:
        
          
          
        
      â€¢149;Ѭ href=""#tom27"">1927 versionЖâ€¢149;Ѭ href=""#tom65"">1965 versionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo+999:1172
 "">Video 999:1172
 Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1890 - 1919"
"La revue des revues (France, 1927)","Directed by Joe Francys. Cast: Josephine Baker, Helene Hallier,Andre Luguet, Pepa Bonafe, Gretchikine, Madame Komakova, Ludovic,Lila Nikolska, Skibinne, Tiller's Follies Girls, Ruth Zackey andthe Hoffmann Girls. Helene Hallier, an ambitious by innocentwould-be young chorine, trumps a music hall publicity stunt tobecome the new Parisian nightclub sensation. The light story isonly a pretext for La Revue des Revues' white-hot, non-stopprocession of outrageously and scantily attired exotic dancers,showgirls, and acrobats including the Tiller's Follies Girls, RuthZackey and the Hoffman Girls, and danseuse russe Lila Nikolska. Butit's Josephine Baker, ""the high priestess of primitivism"" whotriumphs in two show stopping numbers. 103 min. â€¢149;Ѭ href=""http://www.imdb.com/title/tt0462506/"">Creditsand other information from the Internet Movie DatabaseЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD9107"">DVD9107Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1920 - 1929"
"Uncle Tom's CabinЖ (Silent 1927)","Directed by Harry A. Pollard. Harriet Beecher Stowe'sinfluential 19th century story of the pre-Civil war South.Peace-loving slave Tom is forced to submit to his sadistic master,the evil Simon Legree. Helpless slaves -- raped, tortured andhumiliated -- are eventually driven to rebel against their wickedoppressors. 112 min. :2334
        â€¢149; Ѭ href=""http://us.imdb.com/Title?0018524"">Creditsand other information from the Internet Movie DatabaseЖ
        
          See also:
          â€¢149;Ѭ href=""#tom14"">1914 versionЖ; Ѭhref=""#tom65"">1965 versionЖ
        
      ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+237 999"">DVD 237 999Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1920 - 1929"
"Fireman of the Follies-Bergère (Le pompier desFolies-Bergère)(France, 1928)","With Josephine Baker; music, Eric le Guen. 7:38 min. (Disc 1)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9633"">DVD 9633Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1920 - 1929"
